userId,id,title,body,title_word_count,body_word_count,body_rank
3,21,Asperiores Ea Ipsam Voluptatibus Modi Minima Quia Sint,"repellat aliquid praesentium dolorem quo
sed totam minus non itaque
nihil labore molestiae sunt dolor eveniet hic recusandae veniam
tempora et tenetur expedita sunt",8,24,48.0
3,22,Dolor Sint Quo A Velit Explicabo Quia Nam,"eos qui et ipsum ipsam suscipit aut
sed omnis non odio
expedita earum mollitia molestiae aut atque rem suscipit
nam impedit esse",8,22,67.0
3,23,Maxime Id Vitae Nihil Numquam,"veritatis unde neque eligendi
quae quod architecto quo neque vitae
est illo sit tempora doloremque fugit quod
et et vel beatae sequi ullam sed tenetur perspiciatis",5,26,29.0
3,24,Autem Hic Labore Sunt Dolores Incidunt,"enim et ex nulla
omnis voluptas quia qui
voluptatem consequatur numquam aliquam sunt
totam recusandae id dignissimos aut sed asperiores deserunt",6,21,76.5
3,25,Rem Alias Distinctio Quo Quis,"ullam consequatur ut
omnis quis sit vel consequuntur
ipsa eligendi ipsum molestiae et omnis error nostrum
molestiae illo tempore quia et distinctio",5,22,67.0
3,26,Est Et Quae Odit Qui Non,"similique esse doloribus nihil accusamus
omnis dolorem fuga consequuntur reprehenderit fugit recusandae temporibus
perspiciatis cum ut laudantium
omnis aut molestiae vel vero",6,22,67.0
3,27,Quasi Id Et Eos Tenetur Aut Quo Autem,"eum sed dolores ipsam sint possimus debitis occaecati
debitis qui qui et
ut placeat enim earum aut odit facilis
consequatur suscipit necessitatibus rerum sed inventore temporibus consequatur",8,27,20.0
3,28,Delectus Ullam Et Corporis Nulla Voluptas Sequi,"non et quaerat ex quae ad maiores
maiores recusandae totam aut blanditiis mollitia quas illo
ut voluptatibus voluptatem
similique nostrum eum",7,21,76.5
3,29,Iusto Eius Quod Necessitatibus Culpa Ea,"odit magnam ut saepe sed non qui
tempora atque nihil
accusamus illum doloribus illo dolor
eligendi repudiandae odit magni similique sed cum maiores",6,23,58.0
3,30,A Quo Magni Similique Perferendis,"alias dolor cumque
impedit blanditiis non eveniet odio maxime
blanditiis amet eius quis tempora quia autem rem
a provident perspiciatis quia",5,21,76.5
4,31,Ullam Ut Quidem Id Aut Vel Consequuntur,"debitis eius sed quibusdam non quis consectetur vitae
impedit ut qui consequatur sed aut in
quidem sit nostrum et maiores adipisci atque
quaerat voluptatem adipisci repudiandae",7,26,29.0
4,32,Doloremque Illum Aliquid Sunt,"deserunt eos nobis asperiores et hic
est debitis repellat molestiae optio
nihil ratione ut eos beatae quibusdam distinctio maiores
earum voluptates et aut adipisci ea maiores voluptas maxime",4,28,13.5
4,33,Qui Explicabo Molestiae Dolorem,"rerum ut et numquam laborum odit est sit
id qui sint in
quasi tenetur tempore aperiam et quaerat qui in
rerum officiis sequi cumque quod",4,25,37.5
4,34,Magnam Ut Rerum Iure,"ea velit perferendis earum ut voluptatem voluptate itaque iusto
totam pariatur in
nemo voluptatem voluptatem autem magni tempora minima in
est distinctio qui assumenda accusamus dignissimos officia nesciunt nobis",4,29,9.5
4,35,Id Nihil Consequatur Molestias Animi Provident,"nisi error delectus possimus ut eligendi vitae
placeat eos harum cupiditate facilis reprehenderit voluptatem beatae
modi ducimus quo illum voluptas eligendi
et nobis quia fugit",6,25,37.5
4,36,Fuga Nam Accusamus Voluptas Reiciendis Itaque,"ad mollitia et omnis minus architecto odit
voluptas doloremque maxime aut non ipsa qui alias veniam
blanditiis culpa aut quia nihil cumque facere et occaecati
qui aspernatur quia eaque ut aperiam inventore",6,32,2.0
4,37,Provident Vel Ut Sit Ratione Est,"debitis et eaque non officia sed nesciunt pariatur vel
voluptatem iste vero et ea
numquam aut expedita ipsum nulla in
voluptates omnis consequatur aut enim officiis in quam qui",6,29,9.5
4,38,Explicabo Et Eos Deleniti Nostrum Ab Id Repellendus,"animi esse sit aut sit nesciunt assumenda eum voluptas
quia voluptatibus provident quia necessitatibus ea
rerum repudiandae quia voluptatem delectus fugit aut id quia
ratione optio eos iusto veniam iure",8,30,6.5
4,39,Eos Dolorem Iste Accusantium Est Eaque Quam,"corporis rerum ducimus vel eum accusantium
maxime aspernatur a porro possimus iste omnis
est in deleniti asperiores fuga aut
voluptas sapiente vel dolore minus voluptatem incidunt ex",7,27,20.0
4,40,Enim Quo Cumque,"ut voluptatum aliquid illo tenetur nemo sequi quo facilis
ipsum rem optio mollitia quas
voluptatem eum voluptas qui
unde omnis voluptatem iure quasi maxime voluptas nam",3,26,29.0
5,41,Non Est Facere,"molestias id nostrum
excepturi molestiae dolore omnis repellendus quaerat saepe
consectetur iste quaerat tenetur asperiores accusamus ex ut
nam quidem est ducimus sunt debitis saepe",3,25,37.5
5,42,Commodi Ullam Sint Et Excepturi Error Explicabo Praesentium Voluptas,"odio fugit voluptatum ducimus earum autem est incidunt voluptatem
odit reiciendis aliquam sunt sequi nulla dolorem
non facere repellendus voluptates quia
ratione harum vitae ut",9,25,37.5
5,43,Eligendi Iste Nostrum Consequuntur Adipisci Praesentium Sit Beatae Perferendis,"similique fugit est
illum et dolorum harum et voluptate eaque quidem
exercitationem quos nam commodi possimus cum odio nihil nulla
dolorum exercitationem magnam ex et a et distinctio debitis",9,29,9.5
5,44,Optio Dolor Molestias Sit,"temporibus est consectetur dolore
et libero debitis vel velit laboriosam quia
ipsum quibusdam qui itaque fuga rem aut
ea et iure quam sed maxime ut distinctio quae",4,27,20.0
5,45,Ut Numquam Possimus Omnis Eius Suscipit Laudantium Iure,"est natus reiciendis nihil possimus aut provident
ex et dolor
repellat pariatur est
nobis rerum repellendus dolorem autem",8,18,90.0
5,46,Aut Quo Modi Neque Nostrum Ducimus,"voluptatem quisquam iste
voluptatibus natus officiis facilis dolorem
quis quas ipsam
vel et voluptatum in aliquid",6,16,96.5
5,47,Quibusdam Cumque Rem Aut Deserunt,"voluptatem assumenda ut qui ut cupiditate aut impedit veniam
occaecati nemo illum voluptatem laudantium
molestiae beatae rerum ea iure soluta nostrum
eligendi et voluptate",5,24,48.0
5,48,Ut Voluptatem Illum Ea Doloribus Itaque Eos,"voluptates quo voluptatem facilis iure occaecati
vel assumenda rerum officia et
illum perspiciatis ab deleniti
laudantium repellat ad ut et autem reprehenderit",7,22,67.0
5,49,Laborum Non Sunt Aut Ut Assumenda Perspiciatis Voluptas,"inventore ab sint
natus fugit id nulla sequi architecto nihil quaerat
eos tenetur in in eum veritatis non
quibusdam officiis aspernatur cumque aut commodi aut",8,25,37.5
5,50,Repellendus Qui Recusandae Incidunt Voluptates Tenetur Qui Omnis Exercitationem,"error suscipit maxime adipisci consequuntur recusandae
voluptas eligendi et est et voluptates
quia distinctio ab amet quaerat molestiae et vitae
adipisci impedit sequi nesciunt quis consectetur",9,26,29.0
6,51,Soluta Aliquam Aperiam Consequatur Illo Quis Voluptas,"sunt dolores aut doloribus
dolore doloribus voluptates tempora et
doloremque et quo
cum asperiores sit consectetur dolorem",7,17,93.0
6,52,Qui Enim Et Consequuntur Quia Animi Quis Voluptate Quibusdam,"iusto est quibusdam fuga quas quaerat molestias
a enim ut sit accusamus enim
temporibus iusto accusantium provident architecto
soluta esse reprehenderit qui laborum",9,23,58.0
6,53,Ut Quo Aut Ducimus Alias,"minima harum praesentium eum rerum illo dolore
quasi exercitationem rerum nam
porro quis neque quo
consequatur minus dolor quidem veritatis sunt non explicabo similique",5,24,48.0
6,54,Sit Asperiores Ipsam Eveniet Odio Non Quia,"totam corporis dignissimos
vitae dolorem ut occaecati accusamus
ex velit deserunt
et exercitationem vero incidunt corrupti mollitia",7,17,93.0
6,55,Sit Vel Voluptatem Et Non Libero,"debitis excepturi ea perferendis harum libero optio
eos accusamus cum fuga ut sapiente repudiandae
et ut incidunt omnis molestiae
nihil ut eum odit",6,23,58.0
6,56,Qui Et At Rerum Necessitatibus,"aut est omnis dolores
neque rerum quod ea rerum velit pariatur beatae excepturi
et provident voluptas corrupti
corporis harum reprehenderit dolores eligendi",5,22,67.0
6,57,Sed Ab Est Est,"at pariatur consequuntur earum quidem
quo est laudantium soluta voluptatem
qui ullam et est
et cum voluptas voluptatum repellat est",4,20,82.5
6,58,Voluptatum Itaque Dolores Nisi Et Quasi,"veniam voluptatum quae adipisci id
et id quia eos ad et dolorem
aliquam quo nisi sunt eos impedit error
ad similique veniam",6,22,67.0
6,59,Qui Commodi Dolor At Maiores Et Quis Id Accusantium,"perspiciatis et quam ea autem temporibus non voluptatibus qui
beatae a earum officia nesciunt dolores suscipit voluptas et
animi doloribus cum rerum quas et magni
et hic ut ut commodi expedita sunt",9,32,2.0
6,60,Consequatur Placeat Omnis Quisquam Quia Reprehenderit Fugit Veritatis Facere,"asperiores sunt ab assumenda cumque modi velit
qui esse omnis
voluptate et fuga perferendis voluptas
illo ratione amet aut et omnis",9,21,76.5
7,61,Voluptatem Doloribus Consectetur Est Ut Ducimus,"ab nemo optio odio
delectus tenetur corporis similique nobis repellendus rerum omnis facilis
vero blanditiis debitis in nesciunt doloribus dicta dolores
magnam minus velit",6,24,48.0
7,62,Beatae Enim Quia Vel,"enim aspernatur illo distinctio quae praesentium
beatae alias amet delectus qui voluptate distinctio
odit sint accusantium autem omnis
quo molestiae omnis ea eveniet optio",4,24,48.0
7,63,Voluptas Blanditiis Repellendus Animi Ducimus Error Sapiente Et Suscipit,"enim adipisci aspernatur nemo
numquam omnis facere dolorem dolor ex quis temporibus incidunt
ab delectus culpa quo reprehenderit blanditiis asperiores
accusantium ut quam in voluptatibus voluptas ipsam dicta",9,28,13.5
7,64,Et Fugit Quas Eum In In Aperiam Quod,"id velit blanditiis
eum ea voluptatem
molestiae sint occaecati est eos perspiciatis
incidunt a error provident eaque aut aut qui",8,20,82.5
7,65,Consequatur Id Enim Sunt Et Et,"voluptatibus ex esse
sint explicabo est aliquid cumque adipisci fuga repellat labore
molestiae corrupti ex saepe at asperiores et perferendis
natus id esse incidunt pariatur",6,25,37.5
7,66,Repudiandae Ea Animi Iusto,"officia veritatis tenetur vero qui itaque
sint non ratione
sed et ut asperiores iusto eos molestiae nostrum
veritatis quibusdam et nemo iusto saepe",4,23,58.0
7,67,Aliquid Eos Sed Fuga Est Maxime Repellendus,"reprehenderit id nostrum
voluptas doloremque pariatur sint et accusantium quia quod aspernatur
et fugiat amet
non sapiente et consequatur necessitatibus molestiae",7,21,76.5
7,68,Odio Quis Facere Architecto Reiciendis Optio,"magnam molestiae perferendis quisquam
qui cum reiciendis
quaerat animi amet hic inventore
ea quia deleniti quidem saepe porro velit",6,19,86.5
7,69,Fugiat Quod Pariatur Odit Minima,"officiis error culpa consequatur modi asperiores et
dolorum assumenda voluptas et vel qui aut vel rerum
voluptatum quisquam perspiciatis quia rerum consequatur totam quas
sequi commodi repudiandae asperiores et saepe a",5,31,4.5
7,70,Voluptatem Laborum Magni,"sunt repellendus quae
est asperiores aut deleniti esse accusamus repellendus quia aut
quia dolorem unde
eum tempora esse dolore",3,19,86.5
8,71,Et Iusto Veniam Et Illum Aut Fuga,"occaecati a doloribus
iste saepe consectetur placeat eum voluptate dolorem et
qui quo quia voluptas
rerum ut id enim velit est perferendis",7,22,67.0
8,72,Sint Hic Doloribus Consequatur Eos Non Id,"quam occaecati qui deleniti consectetur
consequatur aut facere quas exercitationem aliquam hic voluptas
neque id sunt ut aut accusamus
sunt consectetur expedita inventore velit",7,24,48.0
8,73,Consequuntur Deleniti Eos Quia Temporibus Ab Aliquid At,"voluptatem cumque tenetur consequatur expedita ipsum nemo quia explicabo
aut eum minima consequatur
tempore cumque quae est et
et in consequuntur voluptatem voluptates aut",8,24,48.0
8,74,Enim Unde Ratione Doloribus Quas Enim Ut Sit Sapiente,"odit qui et et necessitatibus sint veniam
mollitia amet doloremque molestiae commodi similique magnam et quam
blanditiis est itaque
quo et tenetur ratione occaecati molestiae tempora",9,26,29.0
8,75,Dignissimos Eum Dolor Ut Enim Et Delectus In,"commodi non non omnis et voluptas sit
autem aut nobis magnam et sapiente voluptatem
et laborum repellat qui delectus facilis temporibus
rerum amet et nemo voluptate expedita adipisci error dolorem",8,30,6.5
8,76,Doloremque Officiis Ad Et Non Perferendis,"ut animi facere
totam iusto tempore
molestiae eum aut et dolorem aperiam
quaerat recusandae totam odio",6,16,96.5
8,77,Necessitatibus Quasi Exercitationem Odio,"modi ut in nulla repudiandae dolorum nostrum eos
aut consequatur omnis
ut incidunt est omnis iste et quam
voluptates sapiente aliquam asperiores nobis amet corrupti repudiandae provident",4,27,20.0
8,78,Quam Voluptatibus Rerum Veritatis,"nobis facilis odit tempore cupiditate quia
assumenda doloribus rerum qui ea
illum et qui totam
aut veniam repellendus",4,18,90.0
8,79,Pariatur Consequatur Quia Magnam Autem Omnis Non Amet,"libero accusantium et et facere incidunt sit dolorem
non excepturi qui quia sed laudantium
quisquam molestiae ducimus est
officiis esse molestiae iste et quos",8,24,48.0
8,80,Labore In Ex Et Explicabo Corporis Aut Quas,"ex quod dolorem ea eum iure qui provident amet
quia qui facere excepturi et repudiandae
asperiores molestias provident
minus incidunt vero fugit rerum sint sunt excepturi provident",8,27,20.0
9,81,Tempora Rem Veritatis Voluptas Quo Dolores Vero,"facere qui nesciunt est voluptatum voluptatem nisi
sequi eligendi necessitatibus ea at rerum itaque
harum non ratione velit laboriosam quis consequuntur
ex officiis minima doloremque voluptas ut aut",7,28,13.5
9,82,Laudantium Voluptate Suscipit Sunt Enim Enim,"ut libero sit aut totam inventore sunt
porro sint qui sunt molestiae
consequatur cupiditate qui iste ducimus adipisci
dolor enim assumenda soluta laboriosam amet iste delectus hic",6,27,20.0
9,83,Odit Et Voluptates Doloribus Alias Odio Et,"est molestiae facilis quis tempora numquam nihil qui
voluptate sapiente consequatur est qui
necessitatibus autem aut ipsa aperiam modi dolore numquam
reprehenderit eius rem quibusdam",7,25,37.5
9,84,Optio Ipsam Molestias Necessitatibus Occaecati Facilis Veritatis Dolores Aut,"sint molestiae magni a et quos
eaque et quasi
ut rerum debitis similique veniam
recusandae dignissimos dolor incidunt consequatur odio",9,20,82.5
9,85,Dolore Veritatis Porro Provident Adipisci Blanditiis Et Sunt,"similique sed nisi voluptas iusto omnis
mollitia et quo
assumenda suscipit officia magnam sint sed tempora
enim provident pariatur praesentium atque animi amet ratione",8,24,48.0
9,86,Placeat Quia Et Porro Iste,"quasi excepturi consequatur iste autem temporibus sed molestiae beatae
et quaerat et esse ut
voluptatem occaecati et vel explicabo autem
asperiores pariatur deserunt optio",5,24,48.0
9,87,Nostrum Quis Quasi Placeat,"eos et molestiae
nesciunt ut a
dolores perspiciatis repellendus repellat aliquid
magnam sint rem ipsum est",4,16,96.5
9,88,Sapiente Omnis Fugit Eos,"consequatur omnis est praesentium
ducimus non iste
neque hic deserunt
voluptatibus veniam cum et rerum sed",4,16,96.5
9,89,Sint Soluta Et Vel Magnam Aut Ut Sed Qui,"repellat aut aperiam totam temporibus autem et
architecto magnam ut
consequatur qui cupiditate rerum quia soluta dignissimos nihil iure
tempore quas est",9,22,67.0
9,90,Ad Iusto Omnis Odit Dolor Voluptatibus,"minus omnis soluta quia
qui sed adipisci voluptates illum ipsam voluptatem
eligendi officia ut in
eos soluta similique molestias praesentium blanditiis",6,21,76.5
10,91,Aut Amet Sed,"libero voluptate eveniet aperiam sed
sunt placeat suscipit molestias
similique fugit nam natus
expedita consequatur consequatur dolores quia eos et placeat",3,21,76.5
10,92,Ratione Ex Tenetur Perferendis,"aut et excepturi dicta laudantium sint rerum nihil
laudantium et at
a neque minima officia et similique libero et
commodi voluptate qui",4,22,67.0
10,93,Beatae Soluta Recusandae,"dolorem quibusdam ducimus consequuntur dicta aut quo laboriosam
voluptatem quis enim recusandae ut sed sunt
nostrum est odit totam
sit error sed sunt eveniet provident qui nulla",3,27,20.0
10,94,Qui Qui Voluptates Illo Iste Minima,"aspernatur expedita soluta quo ab ut similique
expedita dolores amet
sed temporibus distinctio magnam saepe deleniti
omnis facilis nam ipsum natus sint similique omnis",6,24,48.0
10,95,Id Minus Libero Illum Nam Ad Officiis,"earum voluptatem facere provident blanditiis velit laboriosam
pariatur accusamus odio saepe
cumque dolor qui a dicta ab doloribus consequatur omnis
corporis cupiditate eaque assumenda ad nesciunt",7,26,29.0
10,96,Quaerat Velit Veniam Amet Cupiditate Aut Numquam Ut Sequi,"in non odio excepturi sint eum
labore voluptates vitae quia qui et
inventore itaque rerum
veniam non exercitationem delectus aut",9,20,82.5
10,97,Quas Fugiat Ut Perspiciatis Vero Provident,"eum non blanditiis soluta porro quibusdam voluptas
vel voluptatem qui placeat dolores qui velit aut
vel inventore aut cumque culpa explicabo aliquid at
perspiciatis est et voluptatem dignissimos dolor itaque sit nam",6,32,2.0
10,98,Laboriosam Dolor Voluptates,"doloremque ex facilis sit sint culpa
soluta assumenda eligendi non ut eius
sequi ducimus vel quasi
veritatis est dolores",3,19,86.5
10,99,Temporibus Sit Alias Delectus Eligendi Possimus Magni,"quo deleniti praesentium dicta non quod
aut est molestias
molestias et officia quis nihil
itaque dolorem quia",7,17,93.0
10,100,At Nam Consequatur Ea Labore Ea Harum,"cupiditate quo est a modi nesciunt soluta
ipsa voluptas error itaque dicta in
autem qui minus magnam et distinctio eum
accusamus ratione error aut",7,24,48.0
